Ident,Name,Currency,,
SBI,State Bank of India,INR,,
ICICI,ICICI Bank,INR,,
PUNB,Punjab National Bank,INR,,
BARB,Bank of Baroda,INR,,
HDFC,HDFC Bank,INR,,
AXIS,Axis Bank,INR,,
IDFB,IDFC Bank,INR,,
UBIN,Union Bank of India,INR,,
YESB,Yes Bank,INR,,
KKBK,Kotak Mahindra Bank,INR,,
IBKL,IDBI Bank,INR,,
UCBA,UCO Bank,INR,,
IDIB,Indian Bank,INR,,
MAHB,Bank of Maharashtra,INR,,
CIUB,City Union Bank,INR,,
LAVB,Laxmi Vilas Bank,INR,,
AOUI,AOU Bank,INR,,
CNRB,Canara Bank,INR,,
BKID,Bank of India,INR,,
PYTM,Paytm,INR,,
DBSS,DBS Bank,INR,,
KARB,Karnataka Bank,INR,,
INDB,Indusind Bank,INR,,
IOBA,Indian Overseas Bank,INR,,
FDRL,Federal Bank,INR,,
SCBL,Standard Chartered Bank,INR,,
SIBL,South Indian Bank,INR,,
SBM,State Bank of Mysore,INR,,
CITI,Citi Bank,INR,,
KVB,Karur Vysya Bank,INR,,
BDBL,Bandhan Bank,INR,,
AIRP,Airtel Payment Bank,INR,,
CBIN,Central Bank,INR,,
JAKA,JAMMU AND KASHMIR BANK LTD,INR,,
PKGB,Pragati Krishna Bank,INR,,
SBHY,Telangana Grameena Bank,INR,,
VYSA,ING Vysya Bank Limited,INR,,
INDB,Induslnd Bank,INR,,
CCBL,Citizen credit co-operative bank ltd,INR,,
YESBO,The Akola Urban Co-operative Bank LTD,INR,,
UTKS,Utkarsh Small Finance Bank,INR,,
SVCB,SVC Cooperative Bank Ltd,INR,,
PUNB0HGB,Sarva Haryana Gramin Bank,INR,,
PJSB,PARSIK SAHAKARI BANK,INR,,
HSBC,HSBC Bank,INR,,
CSYB,THE CATHOLIC SYRIAN BANK Ltd.,INR,,
PMCB,PMC Bank,INR,,
RBL,Ratnakar Bank Limited,INR,,
PSIB,Punjab and sind bank,INR,,
JSFB,Jana Small Finance Bank,INR,,
CMPS,MANVI PATTANA SOUHARDA SAHAKARI BANK,INR,,
DCBL,DCB BANK,INR,,
COSB,Cosmos bank,INR,,
UJVN,Ujjivan Small Finance Bank,INR,,
SRCB,Saraswat bank,INR,,
ASBL,Apna Sahakari Bank,INR,,
CAACOB,AKHAND ANAND CO-OP BANK,INR,,
KVGB,Karnataka Vikas Grameena Bank ,INR,,
ABPB,Aditya Birla payment bank,INR,,
TMBL,Tamilnad Mercantile Bank.,INR,,
SBIP,State Bank of Patiala,INR,,
UCBL,United Commercial Bank,INR,,
KCCB,The Kalupur Commercial Co-operative Bank Limited,INR,,
AUBL,AU Small Finance Bank,INR,,
APGB,Andhra Pragathi Grameena Bank,INR,,
BRCB,Bhavana bank,INR,,
ESFB,Equitas bank,INR,,
CBIN,Uttar Bihar Gramin Bank,INR,,
NMCB,The Nasik Merchants' Co-operative Bank,INR,,
MBGB,Madhya bihar gramin bank,INR,,
TJSB,TJSB Sahakari Bank Ltd.,INR,,
KLGB,Kerala Gramin Bank,INR,,
IDFB,IDFC First Bank,INR,,
SUCOB,SUCO BANK,INR,,
SVCB,Deepak Sahakari Bank Ltd.,INR,,
NKGS,NKGSB COOPERATIVE BANK LIMITED,INR,,
VARA,The Varachha CO-OP. Bank ltd,INR,,
RRPUGB,Purvanchal Bank,INR,,
PGB,Punjab Gramin Bank,INR,,
DLXB,Dhanlaxmi Bank Ltd.,INR,,
PKGB,Karnataka Gramin Bank,INR,,
JSBP,Janata sahakari bank,INR,,
RRMBGB,Madhya Pradesh Gramin Bank,INR,,
TNBL,THE NAINITAL BANK LIMITED,INR,,
APGV,Andhra Pradesh Grameena Vikas Bank,INR,,
BUPG,Baroda Uttar Pradesh Gramin,INR,,
SUVRNÂ ,SUVARNAYUG SAHAKARI BANK LTD,INR,,
FINO,Fino Payment Bank,INR,,
IPOS,India Post Payments Bank,INR,,